Unnamed: 0,Public company,Type,Income,Year
697,1199,上半年收入,7.229亿美元,2010
698,904,上半年收入,92.4亿元,2010
699,1125,上半年收入,21.8亿港元,2010
700,1114,上半年收入,078.2亿元,2010
701,1118,上半年收入,200亿元,2010
702,907,上半年收入,104.1亿港元,2010
703,971,上半年收入,100.2亿元,2010
704,894,上半年收入,117.7亿港元,2010
705,1094,上半年收入,2.227亿美元,2010
706,865,上半年收入,597.8亿元,2010
707,1183,上半年收入,212.4亿元,2010
708,973,上半年收入,248.7亿元,2010
709,985,上半年收入,211.6亿港元,2010
710,1154,上半年收入,365亿元,2010
711,1166,上半年收入,242.5亿元,2010
712,1063,上半年收入,152.2亿元,2010
713,1179,上半年收入,90.6亿元,2010
714,1200,上半年收入,301.9亿元,2010
715,1201,上半年收入,289.5亿元,2010
716,978,上半年收入,307.3亿元,2010
717,854,上半年收入,831.6亿元,2010
718,919,上半年收入,2298.2亿元,2010
719,1185,上半年收入,318.7亿港元,2010
720,1202,上半年收入,55.3亿元,2010
721,1070,上半年收入,27.4亿元,2010
722,1167,上半年收入,440.4亿元,2010
723,866,上半年收入,339.4亿元,2010
724,1187,上半年收入,138.7亿元,2010
725,923,上半年收入,276亿港元,2010
726,881,上半年收入,355.6亿元,2010
727,1140,上半年收入,118亿港元,2010
728,954,上半年收入,141亿港元,2010
729,944,上半年收入,517.9亿港元,2010
730,893,上半年收入,175.5亿港元,2010
731,1172,上半年收入,488.5亿元,2010
732,852,上半年收入,135亿元,2010
733,1163,上半年收入,529.3亿港元,2010
734,1162,上半年收入,203.2亿港元,2010
735,918,上半年收入,128.4亿港元,2010
736,1028,上半年收入,27.3亿美元,2010
737,921,上半年收入,413.4亿港元,2010
738,1016,上半年收入,20.5亿港元,2010
739,1144,上半年收入,6.165亿美元,2010
740,964,上半年收入,18.9亿港元,2010
741,1203,上半年收入,47.8亿港元,2010
742,1189,上半年收入,121.2亿港元,2010
743,844,上半年收入,44.2亿港元,2010
744,1204,上半年收入,5.385亿港元,2010
745,1205,上半年收入,24.4亿港元,2009
746,971,上半年收入,49.7亿元,2009
747,1206,上半年收入,8.797亿元,2009
748,1194,上半年收入,40.2亿元,2009
749,1086,上半年收入,16.6亿港元,2009
750,1191,上半年收入,4.985亿港元,2009
751,1059,上半年收入,16.5亿港元,2009
752,1207,上半年收入,757.5亿元,2009
753,850,上半年收入,968.4亿元,2009
754,859,上半年收入,121亿元,2009
755,904,上半年收入,59.5亿元,2009
756,1208,上半年收入,88亿港元,2009
757,1180,上半年收入,18.1亿美元,2009
758,1209,上半年收入,7.697亿港元,2009
759,1104,上半年收入,350.5亿港元,2009
760,1195,上半年收入,31亿美元,2009
761,868,上半年收入,138.7亿元,2009
762,1179,上半年收入,79亿元,2009
763,866,上半年收入,249亿元,2009
764,1210,上半年收入,113亿元,2009
765,1176,上半年收入,31.6亿美元,2009
766,882,上半年收入,570.8亿元,2009
767,1168,上半年收入,654.8亿元,2009
768,900,上半年收入,78.1亿元,2009
